file,sheet,column,method,total,converted,failed
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,1008,10,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,税率_数值,tax_parse,1008,998,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,信息汇总表,税率,tax_text_tokens,1008,10,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,发票基础信息,开票日期,pd.to_datetime,411,410,1
天诚24年取得发票全量发票查询导出结果 (50).xlsx,发票基础信息,金额,numeric_parse,411,411,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,发票基础信息,税额,numeric_parse,411,411,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,发票基础信息,价税合计,numeric_parse,411,410,1
天诚24年取得发票全量发票查询导出结果 (50).xlsx,建筑服务,开票日期,pd.to_datetime,5,5,0
天诚24年取得发票全量发票查询导出结果 (50).xlsx,铁路电子客票,开票日期,pd.to_datetime,6,6,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,开票日期,pd.to_datetime,778,778,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,金额,numeric_parse,778,778,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,税额,numeric_parse,778,778,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,单价,numeric_parse,778,731,47
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,数量,numeric_parse,778,731,47
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,价税合计,numeric_parse,778,778,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,税率_数值,map_tax_text_to_zero,778,150,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,税率_数值,tax_parse,778,628,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,信息汇总表,税率,tax_text_tokens,778,150,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,发票基础信息,开票日期,pd.to_datetime,437,436,1
天诚25年取得发票全量发票查询导出结果 (49).xlsx,发票基础信息,金额,numeric_parse,437,437,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,发票基础信息,税额,numeric_parse,437,437,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,发票基础信息,价税合计,numeric_parse,437,436,1
天诚25年取得发票全量发票查询导出结果 (49).xlsx,建筑服务,开票日期,pd.to_datetime,1,1,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,货物运输服务,开票日期,pd.to_datetime,1,1,0
天诚25年取得发票全量发票查询导出结果 (49).xlsx,铁路电子客票,开票日期,pd.to_datetime,2,2,0
